origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.01,1738.825321
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.01,1715.549172
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.01,1705.972174
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.01,1702.403759
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.025,1751.678097
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.025,1729.52446
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.025,1720.504943
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.025,1717.222279
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.05,1772.690433
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.05,1752.371932
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.05,1744.263812
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.05,1741.448307
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.1,1813.365458
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.1,1796.599356
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.1,1790.255489
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.1,1788.344298
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.15,1852.531634
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.15,1839.186154
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.15,1834.541095
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.15,1833.500671
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.2,1890.479882
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.2,1880.448656
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.2,1877.449577
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.2,1877.252843
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.25,1927.451935
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.25,1920.649704
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.25,1919.254265
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.25,1919.879517
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.3,1963.65393
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.3,1960.013441
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.3,1960.18824
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.3,1961.618358
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.35,1999.266209
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.35,1998.735959
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.35,2000.455418
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.35,2002.67729
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.4,2034.450667
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.4,2036.993292
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.4,2040.238854
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.4,2043.24297
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.45,2069.356504
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.45,2074.947668
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.45,2079.70725
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.45,2083.487414
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.5,2104.124949
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.5,2112.752656
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.5,2119.020296
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.5,2123.573455
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.55,2138.893395
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.55,2150.557643
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.55,2158.333343
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.55,2163.659496
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.6,2173.799232
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.6,2188.51202
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.6,2197.801738
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.6,2203.90394
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.65,2208.98369
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.65,2226.769353
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.65,2237.585174
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.65,2244.469619
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.7,2244.595969
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.7,2265.491871
