"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.01",742.773375464121
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.025",750.655579741767
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.05",761.589715455984
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.1",775.364086996986
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.15",785.209628915327
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.2",795.397120668538
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.25",804.08656893761
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.3",810.47209692541
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.35",816.765313191003
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.4",823.635498235276
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.45",829.793888180385
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.5",835.923751107322
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.55",841.465753392252
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.6",848.668368613897
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.65",855.523960849698
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.7",861.64869528116
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.75",868.669221649
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.8",877.494688823759
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.85",886.081691462494
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.9",897.325471117189
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.95",911.431514026306
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.975",923.505475633371
2026-03-18,"ARI incidence",2026-03-01,-1,"BG","quantile","0.99",938.460011643734
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.01",957.825636803297
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.025",966.452745993245
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.05",975.40643400333
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.1",987.875450809975
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.15",998.179205607154
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.2",1006.44477660404
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.25",1014.16434483588
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.3",1022.0734866968
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.35",1030.12834147874
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.4",1037.5265583927
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.45",1044.81186821449
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.5",1052.72442008292
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.55",1059.85030894622
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.6",1067.90556570465
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.65",1075.50986954599
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.7",1083.50150149145
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.75",1093.05084252737
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.8",1103.34057777179
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.85",1115.19570617366
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.9",1130.03074708676
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.95",1148.94846975423
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.975",1162.21671453863
2026-03-18,"ARI incidence",2026-03-01,-1,"CZ","quantile","0.99",1177.80683996046
2026-03-18,"ARI incidence",2026-03-01,-1,"EE","quantile","0.01",221.013599066937
2026-03-18,"ARI incidence",2026-03-01,-1,"EE","quantile","0.025",223.105156749688
2026-03-18,"ARI incidence",2026-03-01,-1,"EE","quantile","0.05",225.709513723363
2026-03-18,"ARI incidence",2026-03-01,-1,"EE","quantile","0.1",229.380349845747
2026-03-18,"ARI incidence",2026-03-01,-1,"EE","quantile","0.15",232.38029718394
2026-03-18,"ARI incidence",2026-03-01,-1,"EE","quantile","0.2",234.78689210703
2026-03-18,"ARI incidence",2026-03-01,-1,"EE","quantile","0.25",237.74381027709
2026-03-18,"ARI incidence",2026-03-01,-1,"EE","quantile","0.3",240.564170937632
2026-03-18,"ARI incidence",2026-03-01,-1,"EE","quantile","0.35",243.113384547649
2026-03-18,"ARI incidence",2026-03-01,-1,"EE","quantile","0.4",245.354660651811
2026-03-18,"ARI incidence",2026-03-01,-1,"EE","quantile","0.45",247.41994636538
